kid,value,idf
"266","36303","6.925921"
"267","36304","6.903765"
"268","36305","6.936157"
"269","36306","6.959051"
"270","36307","6.965386"
"271","61391","6.969633"
"272","61392","6.884041"
"273","61393","6.952754"
"274","61394","6.940280"
"275","61395","6.976036"
"276","61396","6.901775"
"277","61397","6.940280"
"278","61398","6.917808"
"279","61399","6.889917"
"280","61390","6.887955"
"281","75905","7.010898"
"282","75906","7.006473"
"283","75907","6.967507"
"284","75908","6.905759"
"285","75909","6.899789"
"286","75910","6.827099"
"287","75911","6.942349"
"288","75912","6.952754"
"289","75913","6.946498"
"290","75914","6.870461"
"291","75915","6.925921"
"292","3704","6.976036"
"293","3705","6.897807"
"294","3706","6.923887"
"295","3707","6.828946"
"296","3708","7.058580"
"297","3709","6.997682"
"298","75900","6.851377"
"299","3700","6.923887"
"300","75901","6.925921"
"301","3701","6.874322"
"302","75902","6.913775"
"303","3702","6.919830"
"304","75903","6.866615"
"305","3703","6.915790"
"306","75904","6.862784"
"307","75927","6.899789"
"308","75928","6.984638"
"309","75929","6.942349"
"310","3715","6.967507"
"311","3716","6.825256"
"312","3717","6.899789"
"313","3718","6.952754"
"314","3719","6.934101"
"315","75930","6.893854"
"316","75931","6.872390"
"317","75932","6.885996"
"318","3710","6.787311"
"319","75933","6.984638"
"320","3711","6.917808"
"321","75934","6.905759"
"322","3712","6.954849"
"323","75935","6.963270"
"324","3713","6.956947"
"325","75936","6.849488"
"326","3714","6.885996"
"327","75937","6.866615"
"328","36391","6.905759"
"329","75916","6.917808"
"330","36392","6.821579"
"331","75917","6.885996"
"332","36393","6.903765"
"333","75918","6.942349"
"334","36394","6.917808"
"335","75919","6.862784"
"336","36395","6.880142"
"337","36396","6.847603"
"338","36397","6.973897"
"339","36398","6.991139"
"340","36390","6.889917"
"341","3726","6.938217"
"342","3727","6.897807"
"343","3728","6.948579"
"344","3729","6.887955"
"345","36399","6.889917"
"346","75920","6.903765"
"347","3720","6.891884"
"348","75921","6.841969"
"349","3721","6.932050"
"350","75922","6.847603"
"351","3722","6.946498"
"352","75923","6.862784"
"353","3723","6.923887"
"354","75924","6.923887"
"355","3724","6.855165"
"356","75925","6.893854"
"357","3725","6.858967"
"358","75926","6.885996"
"359","36380","6.893854"
"360","75949","6.891884"
"361","36381","6.823416"
"362","36382","6.930003"
"363","36383","6.930003"
"364","36384","6.930003"
"365","36385","6.868536"
"366","36386","6.927960"
"367","36387","6.843844"
"368","61300","6.936157"
"369","61301","6.930003"
"370","61302","6.913775"
"371","61303","6.971763"
"372","61304","6.885996"
"373","61305","6.862784"
"374","61306","6.880142"
"375","61307","6.814267"
"376","3737","6.868536"
"377","3738","6.948579"
"378","3739","6.973897"
"379","75950","6.866615"
"380","75951","6.959051"
"381","36388","6.884041"
"382","75952","6.855165"
"383","36389","6.932050"
"384","3730","6.876259"
"385","75953","6.907757"
"386","3731","6.909759"
"387","75954","6.885996"
"388","3732","6.893854"
"389","75955","6.891884"
"390","3733","6.969633"
"391","75956","6.925921"
"392","3734","6.855165"
"393","75957","6.999873"
"394","3735","6.944421"
"395","75958","6.946498"
"396","3736","6.938217"
"397","75959","6.905759"
"398","75938","6.884041"
"399","36370","6.936157"
